2018-06-05 18:00:00 -170.041469155439
2018-06-05 18:09:59 -168.592123041313
2018-06-05 18:20:00 -167.403816833016
2018-06-05 18:29:59 -166.460544825218
2018-06-05 18:40:00 -165.743242338005
2018-06-05 18:49:59 -165.230373097587
2018-06-05 19:00:00 -164.89855850829
2018-06-05 19:09:59 -164.723233936487
2018-06-05 19:20:00 -164.679316971095
2018-06-05 19:30:00 -164.741872743156
2018-06-05 19:39:59 -164.886761764766
2018-06-05 19:50:00 -165.091256368751
2018-06-05 19:59:59 -165.334612677111
2018-06-05 20:10:00 -165.598586078943
2018-06-05 20:19:59 -165.867879437049
2018-06-05 20:30:00 -166.130514645515
2018-06-05 20:39:59 -166.378119706395
2018-06-05 20:50:00 -166.606125159685
2018-06-05 21:00:00 -166.813865463775
2018-06-05 21:09:59 -167.004582759631
2018-06-05 21:20:00 -167.185332336343
2018-06-05 21:29:59 -167.366791022693
2018-06-05 21:40:00 -167.562971632782
2018-06-05 21:49:59 -167.790848465912
2018-06-05 22:00:00 -168.069900673832
2018-06-05 22:09:59 -168.421582033212
2018-06-05 22:20:00 -168.868727268391
2018-06-05 22:30:00 -169.434906529734
2018-06-05 22:39:59 -170.143740916985
2018-06-05 22:50:00 -171.018193016605
2018-06-05 22:59:59 -172.079847270195
2018-06-05 23:10:00 -173.348195583006
2018-06-05 23:19:59 -174.839943895358
2018-06-05 23:30:00 -176.568355457311
2018-06-05 23:39:59 -178.542646254578
2018-06-05 23:50:00 -180.767447423071
2018-06-06 00:00:00 -183.242348558398
2018-06-06 00:09:59 -185.961534579352
2018-06-06 00:20:00 -188.913527252683
2018-06-06 00:29:59 -192.081040649046
2018-06-06 00:40:00 -195.440957703775
2018-06-06 00:49:59 -198.964432735042
2018-06-06 01:00:00 -202.617122267359
2018-06-06 01:09:59 -206.359543868014
2018-06-06 01:20:00 -210.147559981404
2018-06-06 01:30:00 -213.932980999281
2018-06-06 01:39:59 -217.66427909513
2018-06-06 01:50:00 -221.287401741013
2018-06-06 01:59:59 -224.746671378702
